	Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF	x	y	z
0	1	1	Retrocalcarine cortex RH	VisCent	VisCent	0.3539655012611362	0.3972088438619662	0.0124206968946313	24.039762062038676	-90.2224233502937	-7.481535403035991
1	2	2	Superior longitudinal fasciculus II mid-posterior RH	No network found	No network found	0.014666328848738	0.7938696650899554	2.535946892186918e-05	27.105514945126004	-30.031404564751696	31.317273596128672
2	3	3	Arcuate fasciculus mid-anterior RH	DorsAttnB	ContA	0.3425173740371051	0.2948607999788027	0.0142998147149185	38.190503666231706	11.784607159857842	24.678218558850645
3	4	4	Cerebrospinal fluid (between middle frontal gyrus anterior and skull)	ContA	SalVentAttnB	0.0166600654755832	0.0005834140299636	0.0064602178434327	-35.8425138159369	58.46101340284579	23.347802927416367
4	5	4	Cerebrospinal fluid (between middle frontal gyrus anterior and skull)	ContA	SalVentAttnB	0.2596588999855289	0.013988405216536	0.0803978867818583	37.44175822138445	57.07682354196896	23.44082956331509
5	6	5	Precentral sulcus mid-inferior RH	DorsAttnB	ContA	0.5859211963181078	0.1697573582712165	0.1025546715412441	50.75423105838905	12.749161387821403	23.8438984378342
6	7	6	Putamen inferior RH	No network found	No network found	0.4481249410668703	0.305296908159809	0.0001907242127643	30.560640958427683	-6.6162740042185675	-0.5671219682449333
7	8	7	Paracingulate gyrus posterior	SalVentAttnA	SalVentAttnB	0.6242824079387672	0.0517308398695695	0.2703722934518336	1.8374600484556822	12.823629843038049	49.58370318085139
8	9	8	Inferior temporal sulcus anterior RH	LimbicA	DefaultB	0.4945129886335426	0.2550523824719104	0.0274920367703264	51.761355174855254	-4.375004759008618	-31.973308930820032
9	10	9	Parahippocampal gyrus anterior	No network found	No network found	0.1958535013207436	0.020964462732597	0.099293870809753	-13.795928922248692	-5.069033705807769	-18.11941372978965
10	11	9	Parahippocampal gyrus anterior	No network found	No network found	0.2646881599439981	0.0453514235649252	0.1892413373941747	12.719849777760984	-3.344923879569137	-17.411272719366842
11	12	10	Calcarine cortex mid-posterior RH	VisCent	VisPeri	0.4739726804932621	0.3171920149477636	0.0677760730477005	13.59989517642137	-80.30647714252676	6.038267020387039
12	13	11	Middle frontal gyrus superior RH	DefaultB	ContB	0.5622951200976489	0.1504365883929439	0.1116171213247285	27.060075328079535	27.716473637825686	52.150144379009134
13	14	12	Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH)	DorsAttnB	DorsAttnA	0.3657129299663771	0.0860161353298596	0.1392425355637528	-27.38313311392922	-74.37408468441825	56.19739217853444
14	15	13	Superior parietal lobule anterior LH	DorsAttnB	DorsAttnA	0.2887887478010457	0.2709662421646788	0.0768609244606077	-26.123505944345254	-60.17385485073814	60.30729787320908
15	16	14	Precentral gyrus middle	SomMotA	SomMotA	0.0630406870847188	0.017571375402508	0.0239325432477631	-46.55951064896698	-12.779006812594034	53.34246087839753
16	17	14	Precentral gyrus middle	SomMotA	SomMotA	0.3781551255499962	0.2849670228048251	0.0673902360510726	43.62676517141398	-10.55121476457441	51.06484232251509
17	18	15	Postcentral sulcus superior RH	SomMotA	DorsAttnB	0.4266885495371557	0.3965718686890631	0.1027794631694444	20.92300713341689	-45.20990982849315	64.60890491569418
18	19	16	Subcentral gyrus RH	SomMotA	SomMotB	0.5692502674168589	0.065997544804128	0.152712063196056	65.45036087224753	-5.694793735750977	8.592824400047434
19	20	17	Frontal pole lateral RH	ContA	ContB	0.4453476489238236	0.097794109638931	0.0706305524862874	29.720445164978784	61.27843294549817	-2.2189625770030688
20	21	18	Postcentral sulcus middle LH	DorsAttnB	DorsAttnB	0.5345082105728575	0.2548763720020425	0.1181714571886402	-37.858141606985924	-36.99453493042404	52.17827356447967
21	22	19	Inferior longitudinal fasciculus posterior RH	No network found	No network found	0.0566854652656795	0.6144431627341154	0.0003793835668576	35.6763039496137	-66.61141606775722	-0.9111895270450105
22	23	20	Parieto-occipital sulcus middle	VisCent	DefaultC	0.2578276395105518	0.0901937402321025	0.0269322580184146	-18.88013487538271	-63.15540900175647	25.346665474601465
23	24	20	Parieto-occipital sulcus middle	VisCent	DefaultC	0.1089374241784362	0.1396190760300282	0.002993223239657	19.186941348907396	-57.639663529340524	24.683476839637862
24	25	21	Lateral fissure posterior limb LH	SalVentAttnA	SalVentAttnA	0.3824111381383382	0.2594592410133365	0.0478374675688363	-49.074449196470525	-35.50404522771031	26.732377986734605
25	26	22	Superior corona radiata RH	No network found	No network found	0.0708205639246592	0.8100382264545322	0.0007953577642901	21.59758150842616	-31.432889322090162	50.443185418152126
26	27	23	Fusiform gyrus mid-posterior RH	VisCent	VisCent	0.6989591230226196	0.1307244056859358	0.1078552326560753	32.906658055219935	-74.16847181437845	-17.272038149170506
27	28	24	Cingulate sulcus mid-posterior LH	SalVentAttnA	SalVentAttnA	0.2867889955794122	0.4592283480701087	0.0084150590952672	-9.658801655330578	3.9962081574236095	36.466572426308474
28	29	25	Intraparietal sulcus posterior RH	DorsAttnB	DorsAttnA	0.3537344191360131	0.2383396358185696	0.0987960339125264	26.343977507923185	-59.405210910805906	55.04869586776914
29	30	26	Anterior insula antero-inferior RH	SalVentAttnA	SalVentAttnB	0.3406815403632792	0.2201669117513695	0.0296181121233904	36.20664335779202	30.860737857157204	-3.9667358711040634
30	31	27	External capsule anterior LH	ContA	SalVentAttnB	0.281924844657426	0.4866070304911144	0.0038664319926067	-24.792776986695998	23.290380643763598	-6.094531832517774
31	32	28	Corpus callosum splenium superior	No network found	DefaultA	0.0239892982981758	0.337800232279429	2.1438392387690984e-05	-15.878754645515812	-48.499929247398185	24.81230155928175
32	33	28	Corpus callosum splenium superior	No network found	DefaultA	0.0140818008293785	0.3737043400745955	8.74426630033915e-05	15.616329358220383	-45.44413745822284	25.41011833363524
33	34	29	Internal capsule genu posterior	No network found	No network found	0.0353606967166134	0.1033375832587072	1.897512012858076e-09	-17.13470846935833	-9.105246980179388	14.032491024669369
34	35	29	Internal capsule genu posterior	No network found	No network found	0.1998554915931338	0.6487733516297004	9.188405611124936e-05	19.18814611479533	-11.465305957202034	14.697719790033943
35	36	30	Superior parietal lobule posterior RH	DorsAttnB	DorsAttnA	0.4482562798274574	0.3589935537272344	0.1182728688324244	21.583105821678913	-69.63345164165855	52.015774076953704
