roi	label	name	size	symmetry	laterality	x	y	z	neighbour	parent	overlap
1	r1@325	1@MIST_325	98	0.0	1.0	-54.49	-50.59	43.28	[31, 74, 96, 109, 229, 283]	127	1.0
2	r2@325	2@MIST_325	103	0.0	-1.0	63.64	-20.66	-15.69	[23, 139, 175, 193, 210, 295]	168	1.0
3	r3@325	3@MIST_325	99	0.0	-1.0	25.45	-66.12	-6.12	[20, 146, 173, 183, 187, 264, 285, 313, 322]	85	1.0
4	r4@325	4@MIST_325	122	0.0	-1.0	35.26	12.67	-40.24	[14, 65, 176, 221, 292]	145	1.0
5	r5@325	5@MIST_325	80	0.0	-1.0	60.49	-9.29	36.02	[48, 104, 116, 199, 274, 280, 298]	101	1.0
6	r6@325	6@MIST_325	153	0.0	1.0	-55.75	-23.29	-24.75	[45, 51, 54, 111, 125, 166, 177, 222, 232, 243, 308]	117	1.0
7	r7@325	7@MIST_325	94	0.0	-1.0	29.39	-89.24	9.81	[56, 202, 203, 254, 264, 276, 285]	152	1.0
8	r8@325	8@MIST_325	95	0.63	0.2319999999999999	-1.39	-56.86	-60.96	[28, 46, 136, 138, 267, 296]	15	1.0
9	r9@325	9@MIST_325	76	0.0	-1.0	33.16	-3.41	46.91	[25, 48, 66, 116, 155, 156, 211, 274, 315]	190	1.0
10	r10@325	10@MIST_325	96	0.0	-1.0	38.5	-57.25	-53.59	[57, 153, 158, 239, 246, 296, 321]	79	1.0
11	r11@325	11@MIST_325	104	0.0	-1.0	60.23	-44.18	33.42	[91, 148, 159, 213, 245, 250, 270]	129	1.0
12	r12@325	12@MIST_325	86	0.0	1.0	-41.48	26.73	-10.37	[72, 75, 143, 195, 196, 224, 228, 266, 291, 324]	99	1.0
13	r13@325	13@MIST_325	80	0.78	0.05	-1.5	-41.61	-32.41	[18, 41, 127, 134, 144, 321]	84	1.0
14	r14@325	14@MIST_325	121	0.63	-0.174	4.24	0.12	-26.72	[4, 65, 69, 176, 188, 217, 221, 279, 290, 291, 324]	128	1.0
15	r15@325	15@MIST_325	96	0.0	1.0	-61.72	-41.91	19.12	[31, 81, 96, 150, 174, 191, 215, 255]	196	1.0
16	r16@325	16@MIST_325	76	0.0	-1.0	37.42	0.89	-7.41	[130, 167, 188, 218, 221, 224, 258, 309, 320, 323]	91	1.0
17	r17@325	17@MIST_325	83	0.77	0.048	-0.22	-52.83	-2.0	[68, 82, 88, 101, 146, 173, 187, 233, 278]	42	1.0
18	r18@325	18@MIST_325	175	0.78	-0.063	0.39	-36.13	-28.14	[13, 41, 88, 110, 134, 144, 146, 166, 236, 290, 321]	191	1.0
19	r19@325	19@MIST_325	95	0.59	0.032	-1.29	10.12	-8.22	[26, 107, 182, 279, 284, 289, 323]	18	1.0
20	r20@325	20@MIST_325	121	0.0	-1.0	32.88	-54.78	-13.95	[3, 88, 110, 144, 146, 160, 166, 169, 173, 183, 264, 285]	85	1.0
21	r21@325	21@MIST_325	89	0.0	-1.0	42.57	38.98	25.2	[35, 114, 121, 208, 237, 306]	97	1.0
