s7	s12	s20	s36	s64	s122	sROI	sATOM
1	12	4	1	6	48	85	1022
1	12	4	1	6	48	85	1024
1	12	4	1	6	48	85	1025
1	12	4	1	6	48	85	1026
1	12	4	1	6	48	85	1027
1	12	4	1	6	48	85	1028
1	12	4	1	6	48	85	1087
1	12	4	1	6	48	86	1023
1	12	4	1	6	48	86	1030
1	12	4	1	6	48	86	1031
1	12	4	1	6	48	86	1032
1	12	4	1	6	48	86	1033
1	12	4	1	6	48	86	1034
1	12	4	1	6	48	86	1085
1	12	4	5	48	11	18	1063
1	12	4	5	48	11	18	1093
1	12	4	5	48	11	18	1094
1	12	4	5	48	11	19	1073
1	12	4	5	48	14	24	1053
1	12	4	5	48	14	24	1074
1	12	4	5	48	14	24	1075
1	12	4	5	48	14	25	1064
1	12	4	5	48	14	25	1079
1	12	4	5	48	65	113	1080
1	12	4	5	48	65	113	1081
1	12	4	5	48	65	113	1082
1	12	4	5	48	65	113	1084
1	12	4	5	48	65	114	1076
1	12	4	5	48	65	114	1077
1	12	4	5	48	65	114	1078
1	12	4	5	48	65	114	1083
1	12	4	5	48	65	114	1095
1	12	4	13	5	108	185	1057
1	12	4	13	5	108	185	1058
1	12	4	13	5	108	185	1059
1	12	4	13	5	108	185	1060
1	12	4	13	5	108	185	1061
1	12	4	13	5	108	185	1062
1	12	4	13	5	108	186	1068
1	12	4	13	5	108	186	1069
1	12	4	13	5	108	186	1070
1	12	4	13	5	108	186	1072
1	12	4	13	29	9	14	1005
1	12	4	13	29	9	14	1092
1	12	4	13	29	9	15	1019
1	12	4	13	29	44	77	1041
1	12	4	13	29	44	77	1042
1	12	4	13	29	44	77	1091
1	12	4	13	29	44	78	1046
1	12	4	13	29	44	78	1047
1	12	4	13	29	44	78	1048
1	12	4	13	29	97	167	964
1	12	4	13	29	97	167	1036
1	12	4	13	29	97	167	1037
1	12	4	13	29	97	167	1038
1	12	4	13	29	97	167	1039
1	12	4	13	29	97	168	980
1	12	4	13	29	97	168	1043
1	12	4	13	29	97	168	1045
1	12	4	13	29	97	168	1090
1	12	17	6	15	18	31	992
1	12	17	6	15	18	31	994
1	12	17	6	15	18	31	995
1	12	17	6	15	18	32	1007
1	12	17	6	15	18	32	1009
1	12	17	6	15	18	32	1012
1	12	17	6	15	18	32	1016
1	12	17	6	15	18	32	1052
1	12	17	6	15	46	81	1049
1	12	17	6	15	46	81	1054
1	12	17	6	15	46	81	1055
1	12	17	6	15	46	81	1056
1	12	17	6	15	46	82	1065
1	12	17	6	15	46	82	1066
1	12	17	6	15	46	82	1067
1	12	17	6	15	46	82	1071
1	12	17	7	12	41	71	405
1	12	17	7	12	41	71	453
1	12	17	7	12	41	71	454
1	12	17	7	12	41	71	455
1	12	17	7	12	41	72	421
1	12	17	7	12	41	72	467
1	12	17	7	12	41	72	468
1	12	17	7	12	84	145	967
1	12	17	7	12	84	145	970
1	12	17	7	12	84	145	972
1	12	17	7	12	84	145	973
1	12	17	7	12	84	145	974
1	12	17	7	12	84	145	975
1	12	17	7	12	84	145	976
1	12	17	7	12	84	145	1040
1	12	17	7	12	84	146	469
1	12	17	7	12	84	146	984
1	12	17	7	12	84	146	987
1	12	17	7	12	84	146	988
1	12	17	7	12	84	146	989
1	12	17	7	12	84	146	990
1	12	17	7	12	84	146	991
1	12	17	7	12	84	146	1021
1	12	17	20	11	62	108	977
1	12	17	20	11	62	108	978
1	12	17	20	11	62	108	979
1	12	17	20	11	62	108	1008
1	12	17	20	11	62	108	1010
1	12	17	20	11	62	108	1011
1	12	17	20	11	62	108	1013
1	12	17	20	11	62	108	1015
1	12	17	20	11	62	108	1051
1	12	17	20	11	121	208	981
1	12	17	20	11	121	208	982
1	12	17	20	11	121	208	983
1	12	17	20	11	121	208	985
1	12	17	20	11	121	208	986
1	12	17	20	11	121	208	1014
1	12	17	20	11	121	208	1017
1	12	17	20	11	121	208	1018
1	12	17	20	11	121	208	1020
1	12	17	20	11	121	208	1044
1	12	17	20	44	54	95	962
1	12	17	20	44	54	95	963
1	12	17	20	44	54	95	966
1	12	17	20	44	54	95	993
1	12	17	20	44	54	95	996
1	12	17	20	44	54	95	997
1	12	17	20	44	54	95	999
1	12	17	20	44	54	95	1050
1	12	17	20	44	90	157	965
1	12	17	20	44	90	157	968
1	12	17	20	44	90	157	969
1	12	17	20	44	90	157	971
1	12	17	20	44	90	157	998
1	12	17	20	44	90	157	1000
1	12	17	20	44	90	157	1001
1	12	17	20	44	90	157	1002
