s7	s12	s20	s36	s64	s122	s197	s325	s444	sATOM
1	12	4	1	6	48	84	13	101	1024
1	12	4	1	6	48	84	13	101	1030
1	12	4	1	6	48	84	134	218	1022
1	12	4	1	6	48	84	134	218	1023
1	12	4	1	6	48	84	134	218	1085
1	12	4	1	6	48	191	18	50	1026
1	12	4	1	6	48	191	18	50	1031
1	12	4	1	6	48	191	88	251	1028
1	12	4	1	6	48	191	88	251	1034
1	12	4	1	6	48	191	88	251	1087
1	12	4	1	6	48	191	144	303	1025
1	12	4	1	6	48	191	144	303	1027
1	12	4	1	6	48	191	144	303	1032
1	12	4	1	6	48	191	144	303	1033
1	12	4	5	48	11	27	136	384	1063
1	12	4	5	48	11	27	136	384	1073
1	12	4	5	48	11	27	136	384	1093
1	12	4	5	48	11	27	136	384	1094
1	12	4	5	48	14	15	8	5	1053
1	12	4	5	48	14	15	8	5	1064
1	12	4	5	48	14	15	138	288	1074
1	12	4	5	48	14	15	138	288	1075
1	12	4	5	48	14	15	138	288	1079
1	12	4	5	48	65	3	127	227	1078
1	12	4	5	48	65	3	127	227	1082
1	12	4	5	48	65	3	127	227	1095
1	12	4	5	48	65	33	46	253	1076
1	12	4	5	48	65	33	46	253	1077
1	12	4	5	48	65	33	46	253	1081
1	12	4	13	5	108	118	41	54	1083
1	12	4	13	5	108	118	41	54	1084
1	12	4	13	5	108	118	153	134	1068
1	12	4	13	5	108	118	153	134	1072
1	12	4	13	5	108	118	153	163	1057
1	12	4	13	5	108	118	153	163	1062
1	12	4	13	5	108	144	28	104	1059
1	12	4	13	5	108	144	28	104	1060
1	12	4	13	5	108	144	53	38	1058
1	12	4	13	5	108	144	53	38	1061
1	12	4	13	5	108	144	57	154	1069
1	12	4	13	5	108	144	57	154	1070
1	12	4	13	29	9	40	142	292	1005
1	12	4	13	29	9	40	142	292	1019
1	12	4	13	29	9	40	142	292	1092
1	12	4	13	29	44	49	146	148	1042
1	12	4	13	29	44	49	146	148	1048
1	12	4	13	29	44	49	146	148	1091
1	12	4	13	29	44	49	146	257	1046
1	12	4	13	29	44	49	146	257	1047
1	12	4	13	29	97	14	89	110	1045
1	12	4	13	29	97	14	89	110	1090
1	12	4	13	29	97	14	89	186	1038
1	12	4	13	29	97	14	89	186	1039
1	12	4	13	29	97	82	321	275	980
1	12	4	13	29	97	82	321	275	1043
1	12	4	13	29	97	82	321	380	964
1	12	4	13	29	97	82	321	380	1036
1	12	4	13	29	97	82	321	380	1037
1	12	17	6	15	18	189	92	240	992
1	12	17	6	15	18	189	92	240	994
1	12	17	6	15	18	189	92	240	995
1	12	17	6	15	18	189	158	11	1009
1	12	17	6	15	18	189	158	11	1052
1	12	17	6	15	18	189	158	415	1007
1	12	17	6	15	18	189	158	415	1012
1	12	17	6	15	18	189	158	415	1016
1	12	17	6	15	46	157	267	430	1049
1	12	17	6	15	46	157	267	430	1054
1	12	17	6	15	46	157	267	430	1055
1	12	17	6	15	46	157	267	430	1056
1	12	17	6	15	46	157	296	213	1065
1	12	17	6	15	46	157	296	213	1066
1	12	17	6	15	46	157	296	279	1067
1	12	17	6	15	46	157	296	279	1071
1	12	17	7	12	41	122	76	183	421
1	12	17	7	12	41	122	76	183	467
1	12	17	7	12	41	122	76	183	468
1	12	17	7	12	41	122	273	231	405
1	12	17	7	12	41	122	273	231	453
1	12	17	7	12	41	122	273	340	454
1	12	17	7	12	41	122	273	340	455
1	12	17	7	12	41	122	273	340	539
