roi	label	name	size	symmetry	laterality	x	y	z	neighbour	parent	overlap
1	R_SPlob	right_SUPERIOR_PARIETAL_LOBULE	110	0.0	-1.0	7.2	-25.79	73.35	[49, 112, 117, 120, 132, 200, 203, 210]	1	1.0
2	L_SPlob	left_SUPERIOR_PARIETAL_LOBULE	82	0.0	1.0	-8.23	-25.22	74.76	[50, 111, 118, 119, 195, 199, 204]	1	1.0
3	R_CAUDN_v	right_CAUDATE_ventral	95	0.0	-1.0	12.28	19.91	-1.49	[17, 23, 80, 107, 136]	2	1.0
4	L_CAUDN_v	left_CAUDATE_ventral	44	0.0	1.0	-14.05	22.18	-2.07	[16, 22, 43, 61, 79, 135]	2	1.0
5	L_CERVM	left_CEREBELLUM_VERMIS	160	0.0	1.0	-8.62	-45.04	-8.64	[51, 64, 70, 73, 85, 90, 114, 126, 138, 177]	3	1.0
6	R_CERVM	right_CEREBELLUM_VERMIS	159	0.0	-1.0	9.13	-44.17	-8.36	[52, 63, 69, 74, 86, 113, 127, 137]	3	1.0
7	L_IPlob	left_INFERIOR_PARIETAL_LOBULE	206	0.0	1.0	-48.23	-65.34	33.46	[58, 89, 129, 173, 196]	4	1.0
8	L_MOTnet_am	left_SOMATOMOTOR_NETWORK_anteromedial	132	0.0	1.0	-10.43	-13.89	52.59	[46, 50, 118, 119, 195, 204, 209]	5	1.0
9	R_MOTnet_am	right_SOMATOMOTOR_NETWORK_anteromedial	82	0.0	-1.0	8.56	-10.04	52.51	[45, 49, 117, 120, 194, 203]	5	1.0
10	L_ACcor_d	left_ANTERIOR_CINGULATE_CORTEX_dorsal	188	0.0	1.0	-6.8	21.32	28.29	[46, 47, 59, 96, 198, 209]	6	1.0
11	R_ACcor_d	right_ANTERIOR_CINGULATE_CORTEX_dorsal	158	0.0	-1.0	7.35	19.98	29.06	[45, 48, 60, 158, 197, 210]	6	1.0
12	L_MFgyr_pr	left_MIDDLE_FRONTAL_GYRUS_posterorostral	350	0.0	1.0	-41.13	17.73	39.99	[38, 66, 94, 181, 189, 195]	7	1.0
13	L_MOTnet_dl	left_SOMATOMOTOR_NETWORK_dorsolateral	229	0.0	1.0	-40.99	-22.62	61.9	[119, 160, 189, 195, 199]	8	1.0
14	L_CER6_p	left_CEREBELLUM_VI_posterior	66	0.0	1.0	-5.82	-75.64	-34.18	[18, 77, 81, 157, 167]	9	1.0
15	R_CER6_p	right_CEREBELLUM_VI_posterior	60	0.0	-1.0	5.45	-75.7	-33.5	[19, 32, 78, 146, 168, 208]	9	1.0
16	L_CAUDN_d	left_CAUDATE_dorsal	136	0.0	1.0	-17.67	4.67	17.35	[4, 43, 55, 79]	10	1.0
17	R_CAUDN_d	right_CAUDATE_dorsal	99	0.0	-1.0	16.97	5.09	17.94	[3, 23, 44, 56, 80, 147]	10	1.0
18	L_CER9_d	left_CEREBELLUM_IX_dorsal	117	0.0	1.0	-7.21	-63.21	-38.9	[14, 24, 81, 85, 114, 157, 167, 185]	11	1.0
19	R_CER9_d	right_CEREBELLUM_IX_dorsal	94	0.0	-1.0	7.44	-63.3	-38.06	[15, 32, 82, 86, 113, 168, 186, 208]	11	1.0
20	L_AINS_v	left_ANTERIOR_INSULA_ventral	114	0.0	1.0	-38.97	12.0	-8.11	[22, 37, 39, 43, 54, 148, 149, 153, 207]	12	1.0
21	R_AINS_v	right_ANTERIOR_INSULA_ventral	85	0.0	-1.0	44.54	13.44	-7.51	[36, 40, 53, 134, 147, 150, 154]	12	1.0
22	L_PUT_a	left_PUTAMEN_anterior	194	0.0	1.0	-19.92	4.61	-3.18	[4, 20, 43, 54, 64, 79, 106, 125, 135]	13	1.0
23	R_PUT_a	right_PUTAMEN_anterior	221	0.0	-1.0	19.79	8.39	-1.67	[3, 17, 36, 40, 44, 53, 56, 63, 80, 107, 124, 136, 147]	13	1.0
24	L_CER9_v	left_CEREBELLUM_IX_ventral	133	0.0	1.0	-8.08	-55.38	-56.5	[18, 81, 114, 185]	14	1.0
25	R_CER9_v	right_CEREBELLUM_IX_ventral	76	0.0	-1.0	6.75	-54.49	-58.41	[82, 113, 186]	14	1.0
26	R_ANGgyr	right_ANGULAR_GYRUS	298	0.0	-1.0	53.82	-53.25	17.68	[163, 169, 170, 172, 179, 182, 206]	15	1.0
27	L_PVISnet_dm	left_POSTERIOR_VISUAL_NETWORK_dorsomedial	156	0.0	1.0	-16.04	-96.35	14.02	[33, 68, 76, 89, 90, 98, 100, 104, 183]	16	1.0
28	R_PVISnet_dm	right_POSTERIOR_VISUAL_NETWORK_dorsomedial	230	0.0	-1.0	14.62	-94.47	15.27	[34, 75, 91, 99, 101, 105, 184]	16	1.0
29	L_PRC_v	left_PRECUNEUS_ventral	141	0.0	1.0	-5.4	-52.04	25.85	[33, 42, 47, 83, 90, 126, 165, 177]	17	1.0
30	R_PRC_v	right_PRECUNEUS_ventral	148	0.0	-1.0	5.98	-52.06	27.76	[41, 48, 84, 127, 166, 178]	17	1.0
31	L_CER7b_m	left_CEREBELLUM_VIIb_medial	158	0.0	1.0	-28.67	-77.97	-50.46	[81, 95, 157, 185]	18	1.0
32	R_CER7b_m	right_CEREBELLUM_VIIb_medial	262	0.0	-1.0	20.34	-80.48	-46.53	[15, 19, 82, 108, 146, 186, 208]	18	1.0
33	L_MVISnet_ad	left_MEDIAL_VISUAL_NETWORK_anterodorsal	212	0.0	1.0	-19.46	-64.31	8.29	[27, 29, 51, 70, 89, 90, 98, 126, 138, 174, 177, 183]	19	1.0
34	R_MVISnet_ad	right_MEDIAL_VISUAL_NETWORK_anterodorsal	180	0.0	-1.0	19.72	-62.17	8.27	[28, 52, 91, 99, 127, 137, 175, 178]	19	1.0
