Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF
1	1	Superior occipital sulcus inferior LH	DorsAttnB	DorsAttnA	0.5104973394878837	0.348144201596819	0.06968343241396766
2	2	Superior occipital gyrus 	VisCent	VisCent	0.1492273100668406	0.10598227229449962	0.010573768356086548
3	2	Superior occipital gyrus 	VisCent	VisCent	0.29032002830061737	0.32338558327933	0.020735950692446346
4	3	Insula antero-inferior	SalVentAttnA	SalVentAttnA	0.5338968751045838	0.04962091988759086	0.15909720152791007
5	3	Insula antero-inferior	SalVentAttnA	SalVentAttnA	0.12276573150513734	0.0018522511484339078	0.04121136965059807
6	4	Middle frontal gyrus middle RH	ContA	SalVentAttnB	0.46131165711688416	0.18429306874527726	0.04618485759253048
7	5	Calcarine cortex posterior LH	VisCent	VisCent	0.37122571978967406	0.27425163800872027	0.020550147642790707
8	6	Lateral fissure posterior ramus RH	SalVentAttnA	SalVentAttnA	0.3205930924939305	0.36644089758523896	0.024501105546935922
9	7	Superior occipital gyrus superior LH	DorsAttnB	DorsAttnA	0.2381903764248042	0.49647708984371536	0.035983392378316534
10	8	Angular gyrus inferior LH	SalVentAttnA	TempPar	0.5869023424956467	0.16613605906003814	0.057900794274808834
11	9	Calcarine sulcus anterior LH	VisCent	VisPeri	0.41503862865148206	0.24694243266747914	0.03298374977682623
12	10	Frontal pole inferior RH	ContA	ContB	0.4928572243432837	0.1462038543974834	0.07058089883188119
13	11	Midbrain superior	No network found	No network found	0.5412256749470014	0.13336348581986124	0.128263646637246
14	12	Occipitotemporal gyrus mid-posterior RH	VisCent	DorsAttnA	0.6321806014748999	0.20651491877685085	0.03908244671393472
15	13	Insula postero-inferior medial	SomMotA	SomMotB	0.109910257605075	0.053954964684860385	0.004242712564449442
16	13	Insula postero-inferior medial	SomMotA	SomMotB	0.4875448489952821	0.1857791096679842	0.0198581424820774
17	14	Cerebellum VI RH	No network found	No network found	0.4056351059437141	0.2721522318683425	0.005343630838636317
18	15	Fusiform gyrus anterior LH	VisCent	DorsAttnA	0.7190936794070912	0.05267233614636892	0.09078312352338738
19	15	Fusiform gyrus anterior LH	VisCent	DorsAttnA	0.08654586836337845	0.0022532901709186406	0.013180861848371576
