Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF
1	1	Superior frontal sulcus	DefaultB	DefaultA	0.31614209304041907	0.08859225855103767	0.05185830387362124
2	1	Superior frontal sulcus	DefaultB	DefaultA	0.2677062642064884	0.06815833054355515	0.04485066493858031
3	2	Fusiform gyrus	No network found	No network found	0.38475188288650897	0.010953319466992469	0.06436866396908678
4	2	Fusiform gyrus	No network found	No network found	0.35689568381840747	0.009643387575177045	0.054132991335959516
5	3	Calcarine cortex posterior	VisCent	VisPeri	0.4456642048421481	0.22804817422417537	0.07006604898109157
6	4	Cingulate cortex posterior	DefaultB	DefaultA	0.5740635347051055	0.11101949913105572	0.09346834587340799
7	5	Parieto-occipital sulcus superior	ContA	ContC	0.14945105446521725	0.04369348883090979	0.020270806894614184
8	5	Parieto-occipital sulcus superior	ContA	ContC	0.3961552911488426	0.15803080498829714	0.08532451694867794
9	6	Insula antero-superior	SalVentAttnA	SalVentAttnB	0.3074012235139735	0.021117441224127786	0.05036791589897658
10	6	Insula antero-superior	SalVentAttnA	SalVentAttnB	0.3465965424643656	0.03765072397672224	0.06593950120992319
11	7	Superior temporal sulcus with angular gyrus	DefaultB	TempPar	0.05373373754470919	0.01146014608552053	0.005727047730828924
12	7	Superior temporal sulcus with angular gyrus	DefaultB	TempPar	0.5699360962563583	0.16358306036171108	0.05852241007604287
13	8	Planum temporale	SomMotA	SomMotB	0.30481707675411357	0.12760857852121418	0.054000199968665674
14	8	Planum temporale	SomMotA	SomMotB	0.27995297390142193	0.044779171440033086	0.06279073638599107
15	9	Cerebellum Crus II	No network found	No network found	0.1961960257463369	0.03424122867693082	0.004635829142071832
16	9	Cerebellum Crus II	No network found	No network found	0.16849191533489488	0.02253367107973011	0.019872143549450307
17	9	Cerebellum Crus II	No network found	No network found	0.28530989305378734	0.04923725470049303	0.010326781003626904
18	10	Superior parts of Postcentral and Precentral gyri	SomMotA	DorsAttnB	0.19143449470126908	0.034931489065916636	0.0893573019867452
19	10	Superior parts of Postcentral and Precentral gyri	SomMotA	DorsAttnB	0.045186414166782936	0.009814740313670214	0.019834458482952993
20	10	Superior parts of Postcentral and Precentral gyri	SomMotA	DorsAttnB	0.08139809846543301	0.017335319586701647	0.04472767881701329
21	11	Transverse sinus	No network found	No network found	0.684294314738961	0.023009203080173544	0.16457023645244873
22	12	Paracentral gyrus RH	SomMotA	SomMotA	0.39750667789278565	0.26676699079790694	0.08727174461096136
23	13	Superior occipital gyrus	VisCent	VisPeri	0.39797250994628697	0.21053235242025783	0.07926420715103942
24	14	Cingulate gyrus mid-posterior	DefaultB	ContC	0.6655297604994324	0.11929485558385397	0.12383199030238234
25	15	ventricles	No network found	No network found	0.2650233174204675	0.1157377622656498	0.07549761243271327
26	15	ventricles	No network found	No network found	0.2436523610545442	0.0806718659724898	0.08962564234742017
27	16	Fusiform gyrus posterior	VisCent	VisCent	0.3321563905814666	0.0724698962286448	0.03129164599409331
28	16	Fusiform gyrus posterior	VisCent	VisCent	0.30049947327804505	0.07098578654645547	0.025253044338651588
29	17	Superior frontal gyrus medial	SalVentAttnA	SalVentAttnA	0.016796828162102182	0.0038185793311743582	0.003598659610705824
30	17	Superior frontal gyrus medial	SalVentAttnA	SalVentAttnA	0.5128755710662237	0.06082286263739652	0.19984083998070648
31	17	Superior frontal gyrus medial	SalVentAttnA	SalVentAttnA	0.014662030557719823	0.002096072132792573	0.003147269814878836
32	18	Precuneus superior	DorsAttnB	ContC	0.47768036609421044	0.054225299507588656	0.2151950658229062
33	19	Planum polare	SalVentAttnA	SomMotB	0.25966644975566056	0.015112963757073187	0.07255483026383237
34	19	Planum polare	SalVentAttnA	SomMotB	0.3171708125142401	0.010516968880127812	0.08975899855163923
35	20	Parieto-occipital sulcus middle	VisCent	VisPeri	0.1998848622477811	0.142160600305305	0.033084547163885925
36	20	Parieto-occipital sulcus middle	VisCent	VisPeri	0.30051526840939197	0.11662641710805938	0.062024288084201455
37	21	Cerebellum I-V	No network found	No network found	0.6573506084721366	0.17573446748878555	0.02115850787927891
38	22	Superior fornix and isthmus	No network found	DefaultC	0.3564377038061842	0.04081219549763776	0.4697536979256252
39	23	Anterior Cingulate Cortex	DefaultB	SalVentAttnB	0.025889192753267117	0.0014603953160567153	0.0036573932827147775
40	23	Anterior Cingulate Cortex	DefaultB	SalVentAttnB	0.5981999378038064	0.05951129937500888	0.10976731636668347
41	24	Descending occipital gyrus	VisCent	VisCent	0.20367292073203527	0.10935580123973071	0.025697621419329453
42	24	Descending occipital gyrus	VisCent	VisCent	0.2541664858841748	0.166910314589634	0.02531992496790762
43	25	Putamen	No network found	No network found	0.24027055475420517	0.18009954281024873	0.0014351677707547823
44	25	Putamen	No network found	No network found	0.2511934586315598	0.1668193554875069	0.0010962643768188353
45	26	Cingulate gyrus mid-anterior	SalVentAttnA	SalVentAttnA	0.07457647323831744	0.0028978774253220468	0.01491340688733092
46	26	Cingulate gyrus mid-anterior	SalVentAttnA	SalVentAttnA	0.5218420491507668	0.05224222762370066	0.10608088831092377
47	26	Cingulate gyrus mid-anterior	SalVentAttnA	SalVentAttnA	0.06644809071057285	0.0011833351780058295	0.02166750517105464
48	27	Superior parietal lobule posterior	DorsAttnB	DorsAttnA	0.1612074893801995	0.1169051152884929	0.04125720379911529
49	27	Superior parietal lobule posterior	DorsAttnB	DorsAttnA	0.23178845346736138	0.17042570891490993	0.0553640397350686
50	28	Paracentral lobule	SomMotA	SomMotA	0.4315416536662762	0.1694124699377433	0.18813889538324535
51	29	Inferior occipital gyrus	VisCent	VisCent	0.2791619280267876	0.05833627592587201	0.05410794657229813
52	29	Inferior occipital gyrus	VisCent	VisCent	0.3166886550320423	0.09634410452692499	0.04005310420462152
53	30	Superior rostral gyrus	DefaultB	DefaultA	0.5907413399661554	0.10784372278441437	0.13517037488947783
54	31	Calcarine sulcus anterior	VisCent	VisPeri	0.30747420649738944	0.148459658971594	0.04057442463339924
55	31	Calcarine sulcus anterior	VisCent	VisPeri	0.2771460881344226	0.11286765278054281	0.032949462264312515
56	32	Intraparietal sulcus	ContA	ContA	0.38143578822697494	0.19686650235969047	0.07994136487800958
57	32	Intraparietal sulcus	ContA	ContA	0.09392223514783511	0.050553570427926624	0.019094667239407535
58	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.20371095919375803	0.11991224417163047	0.0577697641637296
59	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.14055677708983605	0.07844823693835315	0.039684763881180946
60	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.09243991927034423	0.04582811349610998	0.030547225396276745
61	34	Precentral gyrus medial	SomMotA	SomMotA	0.5795457204457422	0.09754666815636401	0.15966310066577885
62	35	Lingual gyrus anterior	VisCent	VisPeri	0.26136461152807267	0.0527414737482736	0.05030020443493699
63	35	Lingual gyrus anterior	VisCent	VisPeri	0.271427965485939	0.051211259166765465	0.046739626840264316
64	36	Angular gyrus superior	DefaultB	ContB	0.0940406329637634	0.029397552816550616	0.014842336702040439
65	36	Angular gyrus superior	DefaultB	ContB	0.4086487501049782	0.17747200326442458	0.04671028183028343
66	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.23414050209907097	0.06604075009021448	0.03392693943180959
67	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.2731009995671044	0.09802504279634411	0.03595563575412377
68	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.01672128214975521	0.0014526824976610372	0.0030526681793181607
69	38	Intraparietal sulcus LH	DorsAttnB	ContA	0.21441614503516582	0.053262010136327954	0.029453668090848446
70	38	Intraparietal sulcus LH	DorsAttnB	ContA	0.3073866880840651	0.16483680535496822	0.05043028901923432
71	39	Dorsomedial prefrontal cortex antero-superior	DefaultB	DefaultB	0.5422540250436596	0.08403653096257407	0.1489680410558786
72	40	Precentral gyrus superior	DorsAttnB	DorsAttnB	0.2674654023934915	0.0797654799470468	0.04912186772221429
73	40	Precentral gyrus superior	DorsAttnB	DorsAttnB	0.26901899154774617	0.07825245040153576	0.04972983523377619
74	41	Postcentral gyrus inferior	SomMotA	SomMotB	0.21318315399783752	0.13309952462890245	0.029193418883457726
75	41	Postcentral gyrus inferior	SomMotA	SomMotB	0.2861286933859123	0.13410432540221898	0.04224092913353213
76	42	Lateral occipital cortex	VisCent	DorsAttnA	0.23056985679683176	0.07091555293289252	0.026282254234461202
77	42	Lateral occipital cortex	VisCent	DorsAttnA	0.36556041939590694	0.15580139305524687	0.02941527920197716
78	43	Callosomarginal sulcus	SalVentAttnA	SalVentAttnA	0.25203630416823825	0.06129523220541972	0.045135869800179425
79	43	Callosomarginal sulcus	SalVentAttnA	SalVentAttnA	0.33242295194347	0.04324029050157153	0.09795512320957185
80	44	Paracentral lobule superior	SomMotA	SomMotA	0.3439780112241381	0.08788610510101197	0.13851322269731825
81	45	Heschl’s gyrus	SomMotA	SomMotB	0.3361497735750019	0.05578272415282993	0.0440160888614314
82	45	Heschl’s gyrus	SomMotA	SomMotB	0.3179176545385874	0.05286542085589877	0.041333596256861914
